Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
RF-48	  	  	EGAN00001266228	Homo sapiens	NCBI Taxonomy	9606	RF-48	stomach	gastric adenocarcinoma	male	unspecified	909697	P-MTAB-68143	Extract_RF-48	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RF-48	sequencing assay	  	  	ERR981508	ERR981508	EGAR00001343374	16133_8.cram	HUMAN_37_RNA_seq_RF-48_16133_8.ua.bam	RF-48	stomach	gastric adenocarcinoma
RH-1	  	  	EGAN00001266229	Homo sapiens	NCBI Taxonomy	9606	RH-1	musculature	rhabdomyosarcoma	male	bone marrow	971773	P-MTAB-68143	Extract_RH-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RH-1	sequencing assay	  	  	ERR983909	ERR983909	EGAR00001343418	16141_1.cram	HUMAN_37_RNA_seq_RH-1_16141_1.ua.bam	RH-1	musculature	rhabdomyosarcoma
RKO	RKO-sc-1971669	ERS462780	EGAN00001202178	Homo sapiens	NCBI Taxonomy	9606	RKO	large intestine	colorectal carcinoma	not available	  	909698	P-MTAB-68143	10432801_ERX627747	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627747	sequencing assay	ERX627747	EGAX00001237100	ERR672769	ERR672769	EGAR00001252194	13305_4.cram	HUMAN_37_RNA_seq_RKO_13305_4.ua.bam	RKO	large intestine	colorectal carcinoma
RO82-W-1	RO82_W_1-sc-2189671	ERS625071	EGAN00001253226	Homo sapiens	NCBI Taxonomy	9606	RO82-W-1	thyroid gland	follicular thyroid carcinoma	female	unspecified	930083	P-MTAB-68143	12974941_ERX984484	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX984484	sequencing assay	ERX984484	EGAX00001301364	ERR905196	ERR905196	EGAR00001330179	15581_6.cram	HUMAN_37_RNA_seq_RO82-W-1_15581_6.ua.bam	RO82-W-1	thyroid gland	follicular thyroid carcinoma
ROS-50	  	  	EGAN00001266230	Homo sapiens	NCBI Taxonomy	9606	ROS-50	hematopoietic system	B-cell acute lymphoblastic leukemia	male	  	1331025	P-MTAB-68143	Extract_ROS-50	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ROS-50	sequencing assay	  	  	ERR983910	ERR983910	EGAR00001343419	16141_2.cram	HUMAN_37_RNA_seq_ROS-50_16141_2.ua.bam	ROS-50	hematopoietic system	B-cell acute lymphoblastic leukemia
RPMI-2650	  	  	EGAN00001266231	Homo sapiens	NCBI Taxonomy	9606	RPMI-2650	mucosa	head and neck squamous cell carcinoma	male	pleura	909700	P-MTAB-68143	Extract_RPMI-2650	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RPMI-2650	sequencing assay	  	  	ERR983911	ERR983911	EGAR00001343420	16141_3.cram	HUMAN_37_RNA_seq_RPMI-2650_16141_3.ua.bam	RPMI-2650	mucosa	head and neck squamous cell carcinoma
RPMI-6666	  	  	EGAN00001266232	Homo sapiens	NCBI Taxonomy	9606	RPMI-6666	hematopoietic system	Hodgkins lymphoma	male	  	909701	P-MTAB-68143	Extract_RPMI-6666	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RPMI-6666	sequencing assay	  	  	ERR983912	ERR983912	EGAR00001343421	16141_4.cram	HUMAN_37_RNA_seq_RPMI-6666_16141_4.ua.bam	RPMI-6666	hematopoietic system	Hodgkins lymphoma
RPMI-8866	  	  	EGAN00001266233	Homo sapiens	NCBI Taxonomy	9606	RPMI-8866	hematopoietic system	chronic myelogenous leukemia	female	  	910544	P-MTAB-68143	Extract_RPMI-8866	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RPMI-8866	sequencing assay	  	  	ERR983913	ERR983913	EGAR00001343422	16141_5.cram	HUMAN_37_RNA_seq_RPMI-8866_16141_5.ua.bam	RPMI-8866	hematopoietic system	chronic myelogenous leukemia
RVH-421	RVH_421-sc-2189672	ERS625072	EGAN00001253227	Homo sapiens	NCBI Taxonomy	9606	RVH-421	skin	melanoma	male	  	909706	P-MTAB-68143	12974942_ERX989523	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX989523	sequencing assay	ERX989523	EGAX00001302123	ERR910268	ERR910268	EGAR00001330970	15688_4.cram	HUMAN_37_RNA_seq_RVH-421_15688_4.ua.bam	RVH-421	skin	melanoma
RXF393	  	  	EGAN00001280540	Homo sapiens	NCBI Taxonomy	9606	RXF393	kidney	renal cell carcinoma	male	  	905978	P-MTAB-68143	Extract_RXF393	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_RXF393	sequencing assay	  	  	ERR1122978	ERR1122978	EGAR00001373441	17066_2#1.cram	HUMAN_37_RNA_seq_RXF393_17066_2_plx1.ua.bam	RXF393	kidney	renal cell carcinoma
Sarc9371	Sarc9371-sc-2189673	ERS625073	EGAN00001253228	Homo sapiens	NCBI Taxonomy	9606	Sarc9371	bone	osteosarcoma	not available	  	1303910	P-MTAB-68143	12974943_ERX991857	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991857	sequencing assay	ERX991857	EGAX00001302716	ERR912733	ERR912733	EGAR00001331626	15722_8.cram	HUMAN_37_RNA_seq_Sarc9371_15722_8.ua.bam	Sarc9371	bone	osteosarcoma
SAS	  	  	EGAN00001266234	Homo sapiens	NCBI Taxonomy	9606	SAS	mucosa	head and neck squamous cell carcinoma	not available	  	909708	P-MTAB-68143	Extract_SAS	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SAS	sequencing assay	  	  	ERR983914	ERR983914	EGAR00001343423	16141_6.cram	HUMAN_37_RNA_seq_SAS_16141_6.ua.bam	SAS	mucosa	head and neck squamous cell carcinoma
SAT	  	  	EGAN00001266235	Homo sapiens	NCBI Taxonomy	9606	SAT	mucosa	head and neck squamous cell carcinoma	not available	  	1299050	P-MTAB-68143	Extract_SAT	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SAT	sequencing assay	  	  	ERR983915	ERR983915	EGAR00001343424	16141_7.cram	HUMAN_37_RNA_seq_SAT_16141_7.ua.bam	SAT	mucosa	head and neck squamous cell carcinoma
SBC-1	SBC_1-sc-2189674	ERS625074	EGAN00001253229	Homo sapiens	NCBI Taxonomy	9606	SBC-1	lung	small cell lung carcinoma	male	  	713885	P-MTAB-68143	12974944_ERX984466	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX984466	sequencing assay	ERX984466	EGAX00001301346	ERR905178	ERR905178	EGAR00001330161	15574_1.cram	HUMAN_37_RNA_seq_SBC-1_15574_1.ua.bam	SBC-1	lung	small cell lung carcinoma
SBC-3	SBC_3-sc-2189675	ERS625075	EGAN00001253230	Homo sapiens	NCBI Taxonomy	9606	SBC-3	lung	small cell lung carcinoma	not available	  	753610	P-MTAB-68143	12974945_ERX984467	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX984467	sequencing assay	ERX984467	EGAX00001301347	ERR905179	ERR905179	EGAR00001330162	15574_2.cram	HUMAN_37_RNA_seq_SBC-3_15574_2.ua.bam	SBC-3	lung	small cell lung carcinoma
SC-1	  	  	EGAN00001266236	Homo sapiens	NCBI Taxonomy	9606	SC-1	hematopoietic system	diffuse large B cell lymphoma	male	  	1331030	P-MTAB-68143	Extract_SC-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SC-1	sequencing assay	  	  	ERR983916	ERR983916	EGAR00001343425	16141_8.cram	HUMAN_37_RNA_seq_SC-1_16141_8.ua.bam	SC-1	hematopoietic system	diffuse large B cell lymphoma
SCC-3	  	  	EGAN00001266237	Homo sapiens	NCBI Taxonomy	9606	SCC-3	hematopoietic system	diffuse large B cell lymphoma	female	pleura	910930	P-MTAB-68143	Extract_SCC-3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SCC-3	sequencing assay	  	  	ERR983917	ERR983917	EGAR00001343426	16142_4.cram	HUMAN_37_RNA_seq_SCC-3_16142_4.ua.bam	SCC-3	hematopoietic system	diffuse large B cell lymphoma
SCC90	  	  	EGAN00001266238	Homo sapiens	NCBI Taxonomy	9606	SCC90	mucosa	head and neck squamous cell carcinoma	male	  	1299052	P-MTAB-68143	Extract_SCC90	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SCC90	sequencing assay	  	  	ERR983918	ERR983918	EGAR00001343427	16142_5.cram	HUMAN_37_RNA_seq_SCC90_16142_5.ua.bam	SCC90	mucosa	head and neck squamous cell carcinoma
SCH	  	  	EGAN00001266239	Homo sapiens	NCBI Taxonomy	9606	SCH	stomach	choriocarcinoma	male	  	909711	P-MTAB-68143	Extract_SCH	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SCH	sequencing assay	  	  	ERR983919	ERR983919	EGAR00001343428	16142_6.cram	HUMAN_37_RNA_seq_SCH_16142_6.ua.bam	SCH	stomach	choriocarcinoma
Set2	  	  	EGAN00001266240	Homo sapiens	NCBI Taxonomy	9606	Set2	hematopoietic system	essential thrombocythemia	female	  	1659820	P-MTAB-68143	Extract_Set2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Set2	sequencing assay	  	  	ERR983920	ERR983920	EGAR00001343429	16142_7.cram	HUMAN_37_RNA_seq_Set2_16142_7.ua.bam	Set2	hematopoietic system	essential thrombocythemia
SiHa	  	  	EGAN00001266241	Homo sapiens	NCBI Taxonomy	9606	SiHa	uterine cervix	cervical squamous cell carcinoma	female	  	930297	P-MTAB-68143	Extract_SiHa	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SiHa	sequencing assay	  	  	ERR983921	ERR983921	EGAR00001343430	16142_8.cram	HUMAN_37_RNA_seq_SiHa_16142_8.ua.bam	SiHa	uterine cervix	cervical squamous cell carcinoma
SISO	  	  	EGAN00001266242	Homo sapiens	NCBI Taxonomy	9606	SISO	uterine cervix	cervical carcinoma	female	  	1240212	P-MTAB-68143	Extract_SISO	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SISO	sequencing assay	  	  	ERR981477	ERR981477	EGAR00001343343	16116_1.cram	HUMAN_37_RNA_seq_SISO_16116_1.ua.bam	SISO	uterine cervix	cervical carcinoma
SJRH30	  	  	EGAN00001266243	Homo sapiens	NCBI Taxonomy	9606	SJRH30	musculature	rhabdomyosarcoma	male	bone marrow	909716	P-MTAB-68143	Extract_SJRH30	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SJRH30	sequencing assay	  	  	ERR981478	ERR981478	EGAR00001343344	16116_2.cram	HUMAN_37_RNA_seq_SJRH30_16116_2.ua.bam	SJRH30	musculature	rhabdomyosarcoma
SK-GT-2	  	  	EGAN00001266245	Homo sapiens	NCBI Taxonomy	9606	SK-GT-2	stomach	gastric adenocarcinoma	male	  	1503364	P-MTAB-68143	Extract_SK-GT-2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SK-GT-2	sequencing assay	  	  	ERR981480	ERR981480	EGAR00001343346	16116_4.cram	HUMAN_37_RNA_seq_SK-GT-2_16116_4.ua.bam	SK-GT-2	stomach	gastric adenocarcinoma
SK-GT-4	  	  	EGAN00001266246	Homo sapiens	NCBI Taxonomy	9606	SK-GT-4	esophagus	esophageal adenocarcinoma	male	  	1503365	P-MTAB-68143	Extract_SK-GT-4	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SK-GT-4	sequencing assay	  	  	ERR981481	ERR981481	EGAR00001343347	16116_5.cram	HUMAN_37_RNA_seq_SK-GT-4_16116_5.ua.bam	SK-GT-4	esophagus	esophageal adenocarcinoma
SK-MEL-2	SK_MEL_2-sc-2189676	ERS625076	EGAN00001253231	Homo sapiens	NCBI Taxonomy	9606	SK-MEL-2	skin	melanoma	male	skin	905955	P-MTAB-68143	12974946_ERX984468	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX984468	sequencing assay	ERX984468	EGAX00001301348	ERR905180	ERR905180	EGAR00001330163	15574_3.cram	HUMAN_37_RNA_seq_SK-MEL-2_15574_3.ua.bam	SK-MEL-2	skin	melanoma
SK-MG-1	  	  	EGAN00001266247	Homo sapiens	NCBI Taxonomy	9606	SK-MG-1	brain	glioblastoma multiforme	female	  	909729	P-MTAB-68143	Extract_SK-MG-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SK-MG-1	sequencing assay	  	  	ERR981482	ERR981482	EGAR00001343348	16116_6.cram	HUMAN_37_RNA_seq_SK-MG-1_16116_6.ua.bam	SK-MG-1	brain	glioblastoma multiforme
SK-N-SH	  	  	EGAN00001266250	Homo sapiens	NCBI Taxonomy	9606	SK-N-SH	brain	neuroblastoma	female	bone marrow	717431	P-MTAB-68143	Extract_SK-N-SH	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SK-N-SH	sequencing assay	  	  	ERR1000209	ERR1000209	EGAR00001348559	16335_2.cram	HUMAN_37_RNA_seq_SK-N-SH_16335_2.ua.bam	SK-N-SH	brain	neuroblastoma
SK-NEP-1	  	  	EGAN00001266285	Homo sapiens	NCBI Taxonomy	9606	SK-NEP-1	bone	Ewing sarcoma	female	pleura	909730	P-MTAB-68143	Extract_SK-NEP-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SK-NEP-1	sequencing assay	  	  	ERR983928	ERR983928	EGAR00001343437	16192_7.cram	HUMAN_37_RNA_seq_SK-NEP-1_16192_7.ua.bam	SK-NEP-1	bone	Ewing sarcoma
SK-PN-DW	SK_PN_DW-sc-2189677	ERS625077	EGAN00001253232	Homo sapiens	NCBI Taxonomy	9606	SK-PN-DW	bone	Ewing sarcoma	male	  	909731	P-MTAB-68143	12974947_ERX984469	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX984469	sequencing assay	ERX984469	EGAX00001301349	ERR905181	ERR905181	EGAR00001330164	15574_4.cram	HUMAN_37_RNA_seq_SK-PN-DW_15574_4.ua.bam	SK-PN-DW	bone	Ewing sarcoma
SKG-IIIa	  	  	EGAN00001266244	Homo sapiens	NCBI Taxonomy	9606	SKG-IIIa	uterine cervix	cervical carcinoma	female	  	930298	P-MTAB-68143	Extract_SKG-IIIa	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SKG-IIIa	sequencing assay	  	  	ERR981479	ERR981479	EGAR00001343345	16116_3.cram	HUMAN_37_RNA_seq_SKG-IIIa_16116_3.ua.bam	SKG-IIIa	uterine cervix	cervical carcinoma
SKN	  	  	EGAN00001266248	Homo sapiens	NCBI Taxonomy	9606	SKN	uterus	leiomyoma	female	  	1240215	P-MTAB-68143	Extract_SKN	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SKN	sequencing assay	  	  	ERR981483	ERR981483	EGAR00001343349	16116_7.cram	HUMAN_37_RNA_seq_SKN_16116_7.ua.bam	SKN	uterus	leiomyoma
SKN-3	  	  	EGAN00001266249	Homo sapiens	NCBI Taxonomy	9606	SKN-3	mucosa	head and neck squamous cell carcinoma	not available	  	1299059	P-MTAB-68143	Extract_SKN-3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SKN-3	sequencing assay	  	  	ERR981484	ERR981484	EGAR00001343350	16116_8.cram	HUMAN_37_RNA_seq_SKN-3_16116_8.ua.bam	SKN-3	mucosa	head and neck squamous cell carcinoma
SLVL	  	  	EGAN00001266251	Homo sapiens	NCBI Taxonomy	9606	SLVL	hematopoietic system	diffuse large B cell lymphoma	female	  	1331032	P-MTAB-68143	Extract_SLVL	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SLVL	sequencing assay	  	  	ERR1000210	ERR1000210	EGAR00001348560	16335_3.cram	HUMAN_37_RNA_seq_SLVL_16335_3.ua.bam	SLVL	hematopoietic system	diffuse large B cell lymphoma
SN12C	  	  	EGAN00001253233	Homo sapiens	NCBI Taxonomy	9606	SN12C	kidney	renal cell carcinoma	male	  	905979	P-MTAB-68143	Extract_SN12C	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SN12C	sequencing assay	  	  	ERR1011787	ERR1011787	EGAR00001349475	16437_1.cram	HUMAN_37_RNA_seq_SN12C_16437_1.ua.bam	SN12C	kidney	renal cell carcinoma
SNU-175	SNU_175-sc-1971670	ERS462781	EGAN00001202179	Homo sapiens	NCBI Taxonomy	9606	SNU-175	large intestine	colorectal adenocarcinoma	female	peritoneum	1659928	P-MTAB-68143	10432802_ERX627748	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627748	sequencing assay	ERX627748	EGAX00001237101	ERR672770	ERR672770	EGAR00001252195	13305_5.cram	HUMAN_37_RNA_seq_SNU-175_13305_5.ua.bam	SNU-175	large intestine	colorectal adenocarcinoma
SNU-283	SNU_283-sc-1971671	ERS462782	EGAN00001202180	Homo sapiens	NCBI Taxonomy	9606	SNU-283	large intestine	colorectal adenocarcinoma	female	peritoneum	1659929	P-MTAB-68143	10432803_ERX627749	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627749	sequencing assay	ERX627749	EGAX00001237102	ERR672771	ERR672771	EGAR00001252196	13305_6.cram	HUMAN_37_RNA_seq_SNU-283_13305_6.ua.bam	SNU-283	large intestine	colorectal adenocarcinoma
SNU-407	SNU_407-sc-1971672	ERS462783	EGAN00001202181	Homo sapiens	NCBI Taxonomy	9606	SNU-407	large intestine	colorectal adenocarcinoma	male	  	1660034	P-MTAB-68143	10432804_ERX627750	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627750	sequencing assay	ERX627750	EGAX00001237103	ERR672772	ERR672772	EGAR00001252197	13305_7.cram	HUMAN_37_RNA_seq_SNU-407_13305_7.ua.bam	SNU-407	large intestine	colorectal adenocarcinoma
SNU-81	  	  	EGAN00001280541	Homo sapiens	NCBI Taxonomy	9606	SNU-81	large intestine	colorectal adenocarcinoma	male	  	1660036	P-MTAB-68143	Extract_SNU-81	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SNU-81	sequencing assay	  	  	ERR1056398	ERR1056398	EGAR00001363357	16779_1#59.cram	HUMAN_37_RNA_seq_SNU-81_16779_1_plx59.ua.bam	SNU-81	large intestine	colorectal adenocarcinoma
SNU-C1	SNU_C1-sc-1971673	ERS462784	EGAN00001202182	Homo sapiens	NCBI Taxonomy	9606	SNU-C1	large intestine	colorectal adenocarcinoma	male	peritoneum	910905	P-MTAB-68143	10432805_ERX627751	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627751	sequencing assay	ERX627751	EGAX00001237104	ERR672773	ERR672773	EGAR00001252198	13305_8.cram	HUMAN_37_RNA_seq_SNU-C1_13305_8.ua.bam	SNU-C1	large intestine	colorectal adenocarcinoma
SNU-C2B	SNU_C2B-sc-1971674	ERS462785	EGAN00001202183	Homo sapiens	NCBI Taxonomy	9606	SNU-C2B	large intestine	colorectal adenocarcinoma	female	  	909740	P-MTAB-68143	10923757_ERX636390	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636390	sequencing assay	ERX636390	EGAX00001240302	ERR691410	ERR691410	EGAR00001265520	13666_4.cram	HUMAN_37_RNA_seq_SNU-C2B_13666_4.ua.bam	SNU-C2B	large intestine	colorectal adenocarcinoma
SNU-C5	  	  	EGAN00001280542	Homo sapiens	NCBI Taxonomy	9606	SNU-C5	large intestine	colorectal adenocarcinoma	female	  	1674021	P-MTAB-68143	Extract_SNU-C5	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SNU-C5	sequencing assay	  	  	ERR1056399	ERR1056399	EGAR00001363358	16779_2#60.cram	HUMAN_37_RNA_seq_SNU-C5_16779_2_plx60.ua.bam	SNU-C5	large intestine	colorectal adenocarcinoma
SR	  	  	EGAN00001266252	Homo sapiens	NCBI Taxonomy	9606	SR	hematopoietic system	large cell immunoblastic lymphoma	male	  	905965	P-MTAB-68143	Extract_SR	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SR	sequencing assay	  	  	ERR989671	ERR989671	EGAR00001343539	16206_3.cram	HUMAN_37_RNA_seq_SR_16206_3.ua.bam	SR	hematopoietic system	large cell immunoblastic lymphoma
ST486	  	  	EGAN00001280543	Homo sapiens	NCBI Taxonomy	9606	ST486	hematopoietic system	Burkitts lymphoma	female	  	910906	P-MTAB-68143	Extract_ST486	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ST486	sequencing assay	  	  	ERR1056400	ERR1056400	EGAR00001363359	16779_3#61.cram	HUMAN_37_RNA_seq_ST486_16779_3_plx61.ua.bam	ST486	hematopoietic system	Burkitts lymphoma
STS-0421	  	  	EGAN00001266253	Homo sapiens	NCBI Taxonomy	9606	STS-0421	musculature	not available	not available	  	1299061	P-MTAB-68143	Extract_STS-0421	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_STS-0421	sequencing assay	  	  	ERR989672	ERR989672	EGAR00001343540	16206_4.cram	HUMAN_37_RNA_seq_STS-0421_16206_4.ua.bam	STS-0421	musculature	not available
SU-DHL-10	  	  	EGAN00001280544	Homo sapiens	NCBI Taxonomy	9606	SU-DHL-10	hematopoietic system	diffuse large B cell lymphoma	male	  	1331033	P-MTAB-68143	Extract_SU-DHL-10	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SU-DHL-10	sequencing assay	  	  	ERR1088190	ERR1088190	EGAR00001367745	16848_1.cram	HUMAN_37_RNA_seq_SU-DHL-10_16848_1.ua.bam	SU-DHL-10	hematopoietic system	diffuse large B cell lymphoma
SU-DHL-16	  	  	EGAN00001266254	Homo sapiens	NCBI Taxonomy	9606	SU-DHL-16	hematopoietic system	diffuse large B cell lymphoma	male	peritoneum	1331034	P-MTAB-68143	Extract_SU-DHL-16	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SU-DHL-16	sequencing assay	  	  	ERR989673	ERR989673	EGAR00001343541	16206_5.cram	HUMAN_37_RNA_seq_SU-DHL-16_16206_5.ua.bam	SU-DHL-16	hematopoietic system	diffuse large B cell lymphoma
SU-DHL-5	  	  	EGAN00001280545	Homo sapiens	NCBI Taxonomy	9606	SU-DHL-5	hematopoietic system	diffuse large B cell lymphoma	female	peritoneum	1331036	P-MTAB-68143	Extract_SU-DHL-5	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SU-DHL-5	sequencing assay	  	  	ERR1088191	ERR1088191	EGAR00001367746	16848_2.cram	HUMAN_37_RNA_seq_SU-DHL-5_16848_2.ua.bam	SU-DHL-5	hematopoietic system	diffuse large B cell lymphoma
SU-DHL-6	  	  	EGAN00001280546	Homo sapiens	NCBI Taxonomy	9606	SU-DHL-6	hematopoietic system	diffuse large B cell lymphoma	male	peritoneum	1331037	P-MTAB-68143	Extract_SU-DHL-6	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SU-DHL-6	sequencing assay	  	  	ERR1083027	ERR1083027	EGAR00001367345	16848_3.cram	HUMAN_37_RNA_seq_SU-DHL-6_16848_3.ua.bam	SU-DHL-6	hematopoietic system	diffuse large B cell lymphoma
SUIT-2	  	  	EGAN00001280547	Homo sapiens	NCBI Taxonomy	9606	SUIT-2	pancreas	pancreatic adenocarcinoma	male	liver	1240219	P-MTAB-68143	Extract_SUIT-2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SUIT-2	sequencing assay	  	  	ERR1083028	ERR1083028	EGAR00001367346	16848_4.cram	HUMAN_37_RNA_seq_SUIT-2_16848_4.ua.bam	SUIT-2	pancreas	pancreatic adenocarcinoma
SUP-B8	  	  	EGAN00001266255	Homo sapiens	NCBI Taxonomy	9606	SUP-B8	hematopoietic system	acute lymphoblastic leukemia	not available	  	910209	P-MTAB-68143	Extract_SUP-B8	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_SUP-B8	sequencing assay	  	  	ERR989674	ERR989674	EGAR00001343542	16206_6.cram	HUMAN_37_RNA_seq_SUP-B8_16206_6.ua.bam	SUP-B8	hematopoietic system	acute lymphoblastic leukemia
